station_id,name,lat,lon,address,post_code,last_updated,extract_time
1e7ac642-f861-44ad-b5bb-305fa3fb58d3,Cormanon,46.793144,7.1322765,Route de la Berra 2,1752,2024-03-14T23:56,2024-03-15T00:00
9a32fd41-4e9b-4ec3-a153-cc304c3a8243,Gare de Villars-sur-Glâne,46.789974,7.1160135,Route des Préalpes 1,1752,2024-03-14T23:56,2024-03-15T00:00
f840f43d-926a-4b19-8092-3967b8e79a4e,Lamone - Cadempino FFS,46.040344,8.932433,Via Girella 49,6814,2024-03-14T23:56,2024-03-15T00:00
f00d6c5e-e490-4d89-a375-d2fc999ed567,Wyleregg,46.960354,7.4485855,Wylerstrasse 51,3014,2024-03-14T23:56,2024-03-15T00:00
5a7bb58f-9469-42d0-9f3b-b7134ca7457b,Molinazzo,46.01275,8.914699,Via Longa,6934,2024-03-14T23:56,2024-03-15T00:00
711e1401-55d2-4bce-9210-08da96601719,Bioggio Via Industria,46.020355,8.916114,Via Industria 31,6934,2024-03-14T23:56,2024-03-15T00:00
4c041893-36ac-40d5-ac23-7bcb6bd08928,Cappella-Agnuzzo FLP,45.993324,8.924532,Cappella-Agnuzzo,6925,2024-03-14T23:56,2024-03-15T00:00
79471fd9-3e2b-4bd0-8684-5c84e28bc9dc,Muzzano Industria,46.00048,8.912639,Via Industria,6933,2024-03-14T23:56,2024-03-15T00:00
0aaaaa9d-7a04-432a-80ca-c9aa0ff71510,Waisenhausplatz,46.949085,7.444436,Waisenhausplatz 21,3011,2024-03-14T23:56,2024-03-15T00:00
84fe0b1b-bb58-4ed6-a183-f29db8b1d600,Speichergasse PROGR,46.94979,7.444128,Waisenhausplatz 28,3011,2024-03-14T23:56,2024-03-15T00:00
e0ac4ebb-3f61-4c43-a71a-6b63cf81c327,Uni Muesmatt,46.9534,7.428555,Muesmattstrasse 29,3012,2024-03-14T23:56,2024-03-15T00:00
4f8e3ca4-37c7-41ec-967d-7cd691144747,Pauluskirche Bern,46.952686,7.42999,Freiestrasse 3,3012,2024-03-14T23:56,2024-03-15T00:00
