Objectid;Punktname;Rubrik;Kante;Nummer_nach;Id_opendata;V_coord;H_coord
130;Brühlplatz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>29 Wabern Lindenweg</li></ul>";8571413;1197247.82;2598336.546
131;Brühlplatz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>10 Ostermundigen Rüti</li><li>22 Wabern Lindenweg</li></ul>";8571413;1197278.022;2598408.789
132;Brühlplatz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>29 Niederwangen Bahnhof</li></ul>";8571413;1197241.569;2598322.487
133;Brühlplatz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>10 Köniz Schliern</li><li>22 Brünnen Westside Bahnhof</li></ul>";8571413;1197258.769;2598385.87
134;Brunnadernstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>6 Worb Dorf</li><li>7 Ostring</li><li>8 Saali</li></ul>";8507061;1198913.914;2601954.232
135;Brunnadernstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>19 Blinzern</li><li>31 Niederwangen Erle</li></ul>";8507061;1198849.772;2601873.244
136;Brunnadernstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>28 Wankdorf Bahnhof</li></ul>";8507061;1198915.321;2602016.037
137;Brunnadernstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>28 Weissenbühl Bahnhof</li><li>31 Brunnadernstrasse</li><li>6 Fischermätteli</li><li>7 Bümpliz</li><li>8 Brünnen Westside Bahnhof</li></ul>";8507061;1198913.481;2601901.19
138;Brünnen Westside Bahnhof;Haltestelle;;"<ul style=""padding-left: 15px;""><li>22 Brünnen Westside Bahnhof</li><li>22 Wabern Lindenweg</li><li>570 Brünnen Westside</li><li>570 Mühleberg, Post</li><li>8 Brünnen Westside Bahnhof</li><li>8 Saali</li></ul>";8582262;1199226.664;2595165.242
139;Brunnenhof;Haltestelle;;"<ul style=""padding-left: 15px;""><li>43 Kappelisacker</li><li>48 Bolligen Bahnhof</li></ul>";8587292;1203093.253;2603652.598
140;Brünnenstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>27 Weyermannshaus Bad</li></ul>";8590108;1199110.135;2596072.519
141;Brünnenstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>27 Niederwangen Bahnhof</li></ul>";8590108;1199102.292;2596070.079
142;Brunnhof;Haltestelle;;"<ul style=""padding-left: 15px;""><li>6 Fischermätteli</li></ul>";8590010;1199312.347;2599123.892
143;Brunnhof;Haltestelle;;"<ul style=""padding-left: 15px;""><li>6 Worb Dorf</li></ul>";8590010;1199250.867;2599136.037
144;Brunnhof;Haltestelle;;"<ul style=""padding-left: 15px;""><li>17 Bern Bahnhof</li></ul>";8590010;1199276.593;2599055.722
145;Bümpliz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>32 Riedbach Bahnhof</li></ul>";8590044;1198509.83;2595520.045
146;Bümpliz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>7 Bümpliz</li><li>7 Ostring</li></ul>";8590044;1198513.607;2595623.778
147;Bümpliz;Haltestelle;;"<ul style=""padding-left: 15px;""><li>32 Bachmätteli</li></ul>";8590044;1198514.838;2595602.568
148;Bümpliz Bachmätteli;Haltestelle;;"<ul style=""padding-left: 15px;""><li>7 Ostring</li></ul>";8571436;1198734.1;2596314.078
149;Bümpliz Bachmätteli;Haltestelle;;"<ul style=""padding-left: 15px;""><li>27 Niederwangen Bahnhof</li></ul>";8571436;1198761.099;2596354.073
150;Bümpliz Bachmätteli;Haltestelle;;"<ul style=""padding-left: 15px;""><li>32 Riedbach Bahnhof</li><li>7 Bümpliz</li></ul>";8571436;1198764.196;2596301.669
